Payments_ID,Payment_Type,Payment_Number,Verification_Code,Expiration_Date
1,visa,4041372767848,3,1/25/2021
2,mastercard,5048374760480774,2,10/20/2020
3,americanexpress,374622441014478,3,8/20/2020
4,americanexpress,372301542919925,3,2/20/2021
5,visa,4041597212080814,2,10/11/2020
6,mastercard,5002352494497615,3,4/30/2021
7,visa,4117081344051,2,8/3/2020
8,americanexpress,374288904349080,1,9/11/2020
9,visa,4041373708635,3,1/18/2021
10,mastercard,5048376934234623,2,2/20/2021
11,mastercard,5584844025998778,3,4/17/2021
12,mastercard,5010120900327712,2,12/19/2020
13,americanexpress,374288315196526,3,12/22/2020
14,visa,4017953581766,2,2/7/2021
15,visa,4017958947639185,2,8/7/2020
16,visa,4056493688160,2,4/26/2021
17,mastercard,5543689366355066,3,3/15/2021
18,mastercard,5002354737745081,1,7/24/2020
19,mastercard,5048377199328654,1,5/12/2021
20,visa,4322062371126932,2,7/28/2020
21,visa,4041376495826,2,1/15/2021
22,mastercard,5408425617646928,1,10/30/2020
23,americanexpress,372301548620360,1,4/24/2021
24,americanexpress,337941653627009,3,7/27/2020
25,mastercard,5295937162114454,3,11/3/2020
26,mastercard,5392631400274590,3,1/1/2021
27,americanexpress,372733359443443,1,12/28/2020
28,americanexpress,340260695533181,3,2/1/2021
29,mastercard,5299057592574759,2,9/3/2020
30,americanexpress,349967612238915,1,5/6/2021
31,americanexpress,345863863650003,1,8/19/2020
32,americanexpress,337941209379683,2,5/28/2020
33,visa,4017954307070,3,7/31/2020
34,americanexpress,371613572091255,2,9/6/2020
35,mastercard,5100145767642110,2,10/2/2020
36,visa,4017954643771,1,8/29/2020
37,americanexpress,374288611945816,3,6/23/2020
38,visa,4041377839376428,2,12/1/2020
39,mastercard,5002354312370883,3,3/10/2021
40,mastercard,5593965750593408,3,6/10/2020
41,americanexpress,374283622019222,3,9/18/2020
42,mastercard,5100176258182514,1,3/15/2021
43,americanexpress,372301657699072,1,12/4/2020
44,mastercard,5002353827284571,1,7/8/2020
45,mastercard,5100179647091487,3,10/4/2020
46,visa,4059145783613933,1,10/9/2020
47,visa,4017957259648420,1,9/24/2020
